PrefabName	DisplayName	NameToken	ItemType	AutoPickup	InZNetScene	MaxStack	Weight
ArmorMageChest	Eitr-weave Robe	$item_chest_mage	Chest	True	True	1	5
ArmorMageChest_Ashlands	Robes of Embla	$item_chest_mage_ashlands	Chest	True	True	1	5
ArmorMageLegs	Eitr-weave Trousers	$item_legs_mage	Legs	True	True	1	5
ArmorMageLegs_Ashlands	Trousers of Embla	$item_legs_mage_ashlands	Legs	True	True	1	5
ArmorPaddedCuirass	Padded Cuirass	$item_chest_pcuirass	Chest	True	True	1	10
ArmorPaddedGreaves	Padded Greaves	$item_legs_pgreaves	Legs	True	True	1	10
ArmorRagsChest	Rag Tunic	$item_chest_rags	Chest	True	True	1	2
ArmorRagsLegs	Rag Trousers	$item_legs_rags	Legs	True	True	1	2
ArmorRootChest	Root Harnesk	$item_chest_root	Chest	True	True	1	10
ArmorRootLegs	Root Leggings	$item_legs_root	Legs	True	True	1	10
ArmorTrollLeatherChest	Troll Leather Tunic	$item_chest_trollleather	Chest	True	True	1	5
ArmorTrollLeatherLegs	Troll Leather Trousers	$item_legs_trollleather	Legs	True	True	1	5
ArmorTunic1	Plain Blue Tunic	$item_chest_tunic1	Chest	True	True	1	10
ArmorTunic10	Simple Undyed Tunic	$item_chest_tunic10	Chest	True	True	1	10
ArmorTunic2	Blue Tunic with Cape	$item_chest_tunic2	Chest	True	True	1	10
ArmorTunic3	Blue Tunic with Beads	$item_chest_tunic3	Chest	True	True	1	10
ArmorTunic4	Plain Red Tunic	$item_chest_tunic4	Chest	True	True	1	10
ArmorTunic5	Red Tunic with Cape	$item_chest_tunic5	Chest	True	True	1	10
ArmorTunic6	Red Tunic with Beads	$item_chest_tunic6	Chest	True	True	1	10
ArmorTunic7	Plain Yellow Tunic	$item_chest_tunic7	Chest	True	True	1	10
ArmorTunic8	Yellow Tunic with Cape	$item_chest_tunic8	Chest	True	True	1	10
ArmorTunic9	Yellow Tunic with Beads	$item_chest_tunic9	Chest	True	True	1	10
ArmorWolfChest	Wolf Hide Chestpiece	$item_chest_wolf	Chest	True	True	1	15
ArmorWolfLegs	Wolf Hide Trousers	$item_legs_wolf	Legs	True	True	1	15
ArrowBloodGold	Bloodgold Arrow	$item_arrow_bloodgold	Ammo	True	True	100	0.1
ArrowBronze	Bronzehead Arrow	$item_arrow_bronze	Ammo	True	True	100	0.1
ArrowCarapace	Carapace Arrow	$item_arrow_carapace	Ammo	True	True	100	0.1
ArrowCharred	Charred Arrow	$item_arrow_charred	Ammo	True	True	100	0.1
ArrowFire	Fire Arrow	$item_arrow_fire	Ammo	True	True	100	0.1
ArrowFlint	Flinthead Arrow	$item_arrow_flint	Ammo	True	True	100	0.1
ArrowFrost	Frost Arrow	$item_arrow_frost	Ammo	True	True	100	0.1
ArrowIron	Ironhead Arrow	$item_arrow_iron	Ammo	True	True	100	0.1
ArrowNeedle	Needle Arrow	$item_arrow_needle	Ammo	True	True	100	0.1
ArrowObsidian	Obsidian Arrow	$item_arrow_obsidian	Ammo	True	True	100	0.1
ArrowPoison	Poison Arrow	$item_arrow_poison	Ammo	True	True	100	0.1
ArrowSilver	Silver Arrow	$item_arrow_silver	Ammo	True	True	100	0.1
ArrowWood	Wood Arrow	$item_arrow_wood	Ammo	True	True	100	0.1
AskBladder	Asksvin Bladder	$item_askbladder	Material	True	True	50	0.5
AskHide	Asksvin Hide	$item_askhide	Material	True	True	50	1
AsksvinCarrionNeck	Asksvin Neck	$item_asksvincarrionneck	Material	True	True	50	2
AsksvinCarrionPelvic	Asksvin Pelvis	$item_asksvincarrionpelvic	Material	True	True	50	2
AsksvinCarrionRibcage	Asksvin Ribcage	$item_asksvincarrionribcage	Material	True	True	50	5
AsksvinCarrionSkull	Asksvin Skull	$item_asksvincarrionskull	Material	True	True	50	2
AsksvinEgg	Asksvin Egg	$item_asksvin_egg	Misc	False	True	20	1
AsksvinMeat	Asksvin Tail	$item_asksvin_meat	Material	True	True	20	1
Asksvin_Bite	lox bite	lox bite	OneHandedWeapon	True	False	1	1
Asksvin_Headbutt	Dragon claw left	Dragon claw left	OneHandedWeapon	True	False	1	1
Asksvin_Pounce	lox bite	lox bite	OneHandedWeapon	True	False	1	1
Asksvin_Turnaround	lox bite	lox bite	OneHandedWeapon	True	False	1	1
aspect_bonemass_attack_aoe	heal	heal	OneHandedWeapon	True	False	1	1
aspect_bonemass_attack_punch	slap	slap	OneHandedWeapon	True	False	1	1
aspect_bonemass_attack_throw	slime throw	slime throw	OneHandedWeapon	True	False	1	1
aspect_dragon_bite	Dragon claw left	Dragon claw left	OneHandedWeapon	True	False	1	1
aspect_dragon_claw_left	Dragon claw left	Dragon claw left	OneHandedWeapon	True	False	1	1
aspect_dragon_claw_right	Dragon claw left	Dragon claw left	OneHandedWeapon	True	False	1	1
aspect_dragon_coldbreath	dragon breath	dragon breath	OneHandedWeapon	True	False	1	1
aspect_dragon_spit_shotgun	cold ball	cold ball	OneHandedWeapon	True	False	1	1
aspect_dragon_taunt	scream	scream	OneHandedWeapon	True	False	1	1
aspect_Eikthyr_antler	StagAttack1	StagAttack1	OneHandedWeapon	True	False	1	1
aspect_Eikthyr_charge	StagAttack2	StagAttack2	OneHandedWeapon	True	False	1	1
aspect_Eikthyr_stomp	slap	slap	OneHandedWeapon	True	False	1	1
aspect_Fader_Bite	Fader Bite	Fader Bite	OneHandedWeapon	True	False	1	1
aspect_Fader_Claw_Left	Fader Claw Left	Fader Claw Left	OneHandedWeapon	True	False	1	1
aspect_Fader_Claw_Right	Fader Claw Right	Fader Claw Right	OneHandedWeapon	True	False	1	1
aspect_Fader_Fissure	Fader Fissure	Fader Fissure	OneHandedWeapon	True	False	1	1
aspect_Fader_Flamebreath	Fader Firebreath	Fader Firebreath	OneHandedWeapon	True	False	1	1
aspect_Fader_Spin	Fader Spin	Fader Spin	OneHandedWeapon	True	False	1	1
aspect_Fader_WallOfFire	Fader Wall of Fire	Fader Wall of Fire	OneHandedWeapon	True	False	1	1
aspect_gd_king_rootspawn	spawn	spawn	OneHandedWeapon	True	False	1	1
aspect_gd_king_scream	scream	scream	OneHandedWeapon	True	False	1	1
aspect_gd_king_shoot	shaman attack	shaman attack	OneHandedWeapon	True	False	1	1
aspect_gd_king_stomp	jaws	jaws	OneHandedWeapon	True	False	1	1
aspect_GoblinKing_Beam	dragon breath	dragon breath	OneHandedWeapon	True	False	1	1
aspect_GoblinKing_Nova	slap	slap	OneHandedWeapon	True	False	1	1
aspect_GoblinKing_Taunt	scream	scream	OneHandedWeapon	True	False	1	1
aspect_SeekerQueen_Bite	slap	slap	OneHandedWeapon	True	False	1	1
aspect_SeekerQueen_PierceAOE	slap	slap	OneHandedWeapon	True	False	1	1
aspect_SeekerQueen_Rush	slap	slap	OneHandedWeapon	True	False	1	1
aspect_SeekerQueen_Slap	slap	slap	OneHandedWeapon	True	False	1	1
aspect_SeekerQueen_Spit	dragon breath	dragon breath	OneHandedWeapon	True	False	1	1
AtgeirBlackmetal	Black Metal Atgeir	$item_atgeir_blackmetal	TwoHandedWeapon	True	True	1	2.5
AtgeirBronze	Bronze Atgeir	$item_atgeir_bronze	TwoHandedWeapon	True	True	1	2.5
AtgeirGold	Nord Atgeir	$item_atgeir_gold	TwoHandedWeapon	True	True	1	2.5
AtgeirGoldUncooked	Cast: Nord Atgeir	$item_atgeir_gold_uncooked	Material	True	True	1	2.5
AtgeirGold_BloodLightning	Thunderblood Atgeir	$item_atgeir_gold_bloodlightning	TwoHandedWeapon	True	True	1	2.5
AtgeirGold_FrostFire	Frostfire Atgeir	$item_atgeir_gold_frostfire	TwoHandedWeapon	True	True	1	2.5
AtgeirHimminAfl	Himminafl	$item_atgeir_himminafl	TwoHandedWeapon	True	True	1	2.5
AtgeirIron	Iron Atgeir	$item_atgeir_iron	TwoHandedWeapon	True	True	1	2.5
AtgeirWood	Wooden Atgeir	$item_atgeir_wood	TwoHandedWeapon	True	True	1	2.5
Axe1h_JotunWarrior	Club	Club	OneHandedWeapon	False	True	1	1
Axe1h_JotunWarrior 1	Club	Club	Shield	False	True	1	1
Axe2h_JotunWarrior	Club	Club	OneHandedWeapon	False	True	1	1
AxeBerzerkr	Berserkir Axes	$item_axe_berzerkr	TwoHandedWeapon	True	True	1	2
AxeBerzerkrBlood	Bleeding Berserkir Axes	$item_axe_berzerkr_blood	TwoHandedWeapon	True	True	1	2
AxeBerzerkrLightning	Thundering Berserkir Axes	$item_axe_berzerkr_lightning	TwoHandedWeapon	True	True	1	2
AxeBerzerkrNature	Primal Berserkir Axes	$item_axe_berzerkr_nature	TwoHandedWeapon	True	True	1	2
AxeBlackMetal	Black Metal Axe	$item_axe_blackmetal	OneHandedWeapon	True	True	1	2
AxeBronze	Bronze Axe	$item_axe_bronze	OneHandedWeapon	True	True	1	2
AxeEarly	Early Axes	$item_axe_early	TwoHandedWeapon	True	True	1	2
AxeFlint	Flint Axe	$item_axe_flint	OneHandedWeapon	True	True	1	1.5
AxeGold	Nord Axe	$item_axe_gold	OneHandedWeapon	True	True	1	2
AxeGoldUncooked	Cast: Nord Axe	$item_axe_gold_uncooked	Material	True	True	1	2
AxeGold_BloodLightning	Thunderblood Axe	$item_axe_gold_bloodlightning	OneHandedWeapon	True	True	1	2
AxeGold_FrostFire	Frostfire Axe	$item_axe_gold_frostfire	OneHandedWeapon	True	True	1	2
AxeHead1	Curious Axe Head	$item_axehead1	Material	True	True	10	2
AxeHead2	Mysterious Axe Head	$item_axehead2	Material	True	True	10	2
AxeIron	Iron Axe	$item_axe_iron	OneHandedWeapon	True	True	1	2
AxeJotunBane	Jotun Bane	$item_axe_jotunbane	OneHandedWeapon	True	True	1	2
AxeStone	Stone Axe	$item_axe_stone	OneHandedWeapon	True	True	1	1.5
AxeWood	Wooden Axe	$item_axe_wood	OneHandedWeapon	True	True	1	2
babyseeker_attack	Dragon claw left	Dragon claw left	OneHandedWeapon	True	False	1	1
BakedPoteitr	Baked Poteitr	$item_bakedpoteitr	Consumable	True	True	10	1
BakedPoteitrUncooked	Unbaked Poteitr	$item_bakedpoteitr_uncooked	Material	True	True	10	1
BarberKit	Barber Kit	$item_barberkit	Misc	True	True	1	2
BarkaBranch	Frozen Branch	$item_barkabranch	Material	True	True	50	0.5
Barka_Backslam	Barka Backslam	Barka Backslam	OneHandedWeapon	True	False	1	1
Barka_HeavySwing	Dragon claw left	Dragon claw left	OneHandedWeapon	True	False	1	1
Barka_SlamDrive	Dragon claw left	Dragon claw left	OneHandedWeapon	True	False	1	1
Barka_WhipFlurry	Dragon claw left	Dragon claw left	OneHandedWeapon	True	False	1	1
Barka_WhipSlam	Dragon claw left	Dragon claw left	OneHandedWeapon	True	False	1	1
Barley	Barley	$item_barley	Material	True	True	100	0.2
BarleyFlour	Barley Flour	$item_barleyflour	Misc	True	True	50	0.2
BarleyWine	Fire Resistance Barley Wine	$item_barleywine	Consumable	True	True	10	1
BarleyWineBase	Barley Wine Base: Fire Resistance	$item_barleywinebase	Material	True	True	1	1
BarrelRings	Barrel Hoops	$item_barrelrings	Misc	True	True	20	2
Battleaxe	Battleaxe	$item_battleaxe	TwoHandedWeapon	True	True	1	2.5
BattleaxeBlackmetal	Black Metal Battleaxe	$item_battleaxe_blackmetal	TwoHandedWeapon	True	True	1	2.5
BattleaxeCrystal	Crystal Battleaxe	$item_battleaxe_crystal	TwoHandedWeapon	True	True	1	2.5
BattleaxeGold	Nord Greataxe	$item_axe2h_gold	TwoHandedWeapon	True	True	1	2.5
BattleaxeGoldUncooked	Cast: Nord Greataxe	$item_battleaxe_gold_uncooked	Material	True	True	1	2.5
BattleaxeGold_BloodLightning	Thunderblood Greataxe	$item_axe2h_gold_bloodlightning	TwoHandedWeapon	True	True	1	2.5
BattleaxeGold_FrostFire	Frostfire Greataxe	$item_axe2h_gold_frostfire	TwoHandedWeapon	True	True	1	2.5
BattleaxeSkullSplittur	Skull Splittur	$item_battleaxe_skullsplittur	TwoHandedWeapon	True	True	1	2.5
BattleaxeWood	Wooden Battleaxe	$item_battleaxe_wood	TwoHandedWeapon	True	True	1	2.5
bat_melee	Bat melee	Bat melee	OneHandedWeapon	True	True	1	1
Beard1	Majestic	$customization_beard01	Customization	True	False	1	1
Beard10	Top Braid	$customization_beard10	Customization	True	False	1	1
Beard11	Facewarmer	$customization_beard11	Customization	True	False	1	1
Beard12	Royal	$customization_beard12	Customization	True	False	1	1
Beard13	Triplets	$customization_beard13	Customization	True	False	1	1
Beard14	Split Braid	$customization_beard14	Customization	True	False	1	1
Beard15	Mini Braid	$customization_beard15	Customization	True	False	1	1
Beard16	Stonedweller	$customization_beard16	Customization	True	False	1	1
Beard17	Neat	$customization_beard17	Customization	True	False	1	1
Beard18	Jarl Braids	$customization_beard18	Customization	True	False	1	1
Beard19	Bushy	$customization_beard19	Customization	True	False	1	1
Beard2	Twin Braids	$customization_beard02	Customization	True	False	1	1
Beard20	Spiky	$customization_beard20	Customization	True	False	1	1
Beard21	Tidy	$customization_beard21	Customization	True	False	1	1
Beard22	Mustache	$customization_beard22	Customization	True	False	1	1
Beard23	Crumb Catcher	$customization_beard23	Customization	True	False	1	1
Beard24	Waxed	$customization_beard24	Customization	True	False	1	1
Beard25	Trimmed	$customization_beard25	Customization	True	False	1	1
Beard26	Handlebar	$customization_beard26	Customization	True	False	1	1
Beard3	Short	$customization_beard03	Customization	True	False	1	1
Beard4	Straight	$customization_beard04	Customization	True	False	1	1
Beard5	Single Braid	$customization_beard05	Customization	True	False	1	1
Beard6	Loose Braid	$customization_beard06	Customization	True	False	1	1
Beard7	Split Shave	$customization_beard07	Customization	True	False	1	1
Beard8	Thick	$customization_beard08	Customization	True	False	1	1
Beard9	Trobadour	$customization_beard09	Customization	True	False	1	1
BeardNone	No Beard	$customization_nobeard	Customization	True	False	1	1
BeechSeeds	Beech Seeds	$item_beechseeds	Material	True	True	100	0.1
Bell	Bell	$item_bell	Misc	True	True	9	0.5
BellFragment	Bell Fragment	$item_bellfragment	Material	True	True	9	0.5
BeltStrength	Megingjord	$item_beltstrength	Utility	True	True	1	2
Bilebag	Bilebag	$item_bilebag	Material	True	True	50	0.5
BirchSeeds	Birch Seeds	$item_birchseeds	Material	True	True	100	0.1
BjornHide	Bear Hide	$item_bjornhide	Material	True	True	50	1
BjornMeat	Bear Meat	$item_bjorn_meat	Material	True	True	20	1
BjornPaw	Bear Paw	$item_bjornpaw	Material	True	True	50	0.5
bjorn_bite	bjorn bite	bjorn bite	OneHandedWeapon	True	True	1	1
bjorn_claws	bjorn bite	bjorn bite	OneHandedWeapon	True	True	1	1
bjorn_slam	slap	slap	OneHandedWeapon	True	False	1	1
bjorn_swipe_combo	bjorn bite	bjorn bite	OneHandedWeapon	True	True	1	1
bjorn_swipe_l	bjorn bite	bjorn bite	OneHandedWeapon	True	True	1	1
bjorn_swipe_r	bjorn bite	bjorn bite	OneHandedWeapon	True	True	1	1
BlackCore	Black Core	$item_blackcore	Material	True	True	20	1
BlackMarble	Black Marble	$item_blackmarble	Material	True	True	50	2
BlackMetal	Black Metal	$item_blackmetal	Material	True	True	30	12
BlackMetalScrap	Black Metal Scrap	$item_blackmetalscrap	Material	True	True	30	10
BlackSoup	Black Soup	$item_blacksoup	Consumable	True	True	10	1
Blackwood	Ashwood	$item_blackwood	Material	True	True	50	2
blobelite_attack_aoe	fart	fart	OneHandedWeapon	True	False	1	1
blobLava_attack_aoe			OneHandedWeapon	True	False	1	1
blobmork_attack_aoe	fart	fart	OneHandedWeapon	True	False	1	1
blobtar_attack	fireballattack	fireballattack	OneHandedWeapon	True	False	1	1
BlobVial	Corked Vial	$item_blobvial	Material	True	True	10	1
blob_attack_aoe	fart	fart	OneHandedWeapon	True	False	1	1
blob_frost_attack_aoe	fart	fart	OneHandedWeapon	True	False	1	1
Bloodbag	Bloodbag	$item_bloodbag	Material	True	True	50	0.5
BloodGoldKey	Intricate Key	$item_bloodgoldkey	Misc	True	True	1	0.1
BloodPudding	Blood Pudding	$item_bloodpudding	Consumable	True	True	10	1
Blueberries	Blueberries	$item_blueberries	Consumable	True	True	50	0.1
BoarJerky	Boar Jerky	$item_boarjerky	Consumable	True	True	20	0.5
boar_base_attack	boar attack1	boar attack1	OneHandedWeapon	True	False	1	1
BogWitchKvastur_attack	jaws	jaws	OneHandedWeapon	True	False	1	1
BoltBlackmetal	Black Metal Bolt	$item_bolt_blackmetal	Ammo	True	True	100	0.1
BoltBloodGold	Bloodgold Bolt	$item_bolt_bloodgold	Ammo	True	True	100	0.1
BoltBone	Bone Bolt	$item_bolt_bone	Ammo	True	True	100	0.1
BoltCarapace	Carapace Bolt	$item_bolt_carapace	Ammo	True	True	100	0.1
BoltCharred	Charred Bolt	$item_bolt_charred	Ammo	True	True	100	0.1
BoltIron	Iron Bolt	$item_bolt_iron	Ammo	True	True	100	0.1
BombBile	Bile Bomb	$item_bilebomb	OneHandedWeapon	True	True	50	0.3
BombBlob_Frost	Blob Bomb: Frost	$item_bombblob_frost	OneHandedWeapon	True	True	50	0.3
BombBlob_Lava	Blob Bomb: Lava	$item_bombblob_lava	OneHandedWeapon	True	True	50	0.3
BombBlob_Morkhalla	Blob Bomb: Pulp	$item_bombblob_morkhalla	OneHandedWeapon	True	True	50	0.3
BombBlob_Poison	Blob Bomb: Poison	$item_bombblob_poison	OneHandedWeapon	True	True	50	0.3
BombBlob_PoisonElite	Blob Bomb: Elite Poison	$item_bombblob_poisonelite	OneHandedWeapon	True	True	50	0.3
BombBlob_Tar	Blob Bomb: Tar	$item_bombblob_tar	OneHandedWeapon	True	True	50	0.3
BombDynamite	Ember Charge	$item_bomb_dynamite	OneHandedWeapon	True	True	50	0.3
BombLava	Basalt Bomb	$item_lavabomb	OneHandedWeapon	True	True	50	0.3
BombOoze	Ooze Bomb	$item_oozebomb	OneHandedWeapon	True	True	50	0.3
BombSiege	Explosive Payload	$item_catapult_ammo	Material	True	True	50	0.3
BombSmoke	Smoke Bomb	$item_smokebomb	OneHandedWeapon	True	True	50	0.3
BoneFragments	Bone Fragments	$item_bonefragments	Material	True	True	50	0.5
bonemass_attack_aoe	heal	heal	OneHandedWeapon	True	False	1	1
bonemass_attack_punch	slap	slap	OneHandedWeapon	True	False	1	1
bonemass_attack_spawn	heal	heal	OneHandedWeapon	True	False	1	1
bonemass_attack_throw	slime throw	slime throw	OneHandedWeapon	True	False	1	1
BoneMawSerpentMeat	Bonemaw Meat	$item_bonemawmeat	Material	True	True	50	10
BonemawSerpentScale	Bonemaw Scale	$item_bonemawscale	Material	True	True	50	2
BonemawSerpentTooth	Bonemaw Tooth	$item_bonemawtooth	Material	True	True	50	2
BonemawSerpent_bite	Serpent bite	Serpent bite	OneHandedWeapon	True	False	1	1
BonemawSerpent_breath	Fallen Valkyrie Poison Breath	Fallen Valkyrie Poison Breath	OneHandedWeapon	True	False	1	1
BonemawSerpent_ram	Serpent bite	Serpent bite	OneHandedWeapon	True	False	1	1
BonemawSerpent_spit	bonemaw spit	bonemaw spit	OneHandedWeapon	True	False	1	1
BonemawSerpent_taunt	Serpent Taunt	Serpent Taunt	OneHandedWeapon	True	False	1	1
Bow	Crude Bow	$item_bow	Bow	True	True	1	1.5
BowAshlands	Ash Fang	$item_bow_ashlands	Bow	True	True	1	1.5
BowAshlandsBlood	Blood Fang	$item_bow_ashlandsblood	Bow	True	True	1	1.5
BowAshlandsRoot	Root Fang	$item_bow_ashlandsroot	Bow	True	True	1	1.5
BowAshlandsStorm	Storm Fang	$item_bow_ashlandsstorm	Bow	True	True	1	1.5
BowDraugrFang	Draugr Fang	$item_bow_draugrfang	Bow	True	True	1	1.5
BowFineWood	Finewood Bow	$item_bow_finewood	Bow	True	True	1	1.5
BowGold	Nord Bow	$item_bow_gold	Bow	True	True	1	1.5
BowGoldUncooked	Cast: Nord Bow	$item_bow_gold_uncooked	Material	True	True	1	1.5
BowGold_BloodLightning	Thunderblood Bow	$item_bow_gold_bloodlightning	Bow	True	True	1	1.5
BowGold_FrostFire	Frostfire Bow	$item_bow_gold_frostfire	Bow	True	True	1	1.5
BowHuntsman	Huntsman Bow	$item_bow_huntsman	Bow	True	True	1	1.5
BowSpineSnap	Spinesnap	$item_bow_snipesnap	Bow	True	True	1	1.5
Bread	Bread	$item_bread	Consumable	True	True	20	0.5
BreadDough	Bread Dough	$item_breaddough	Material	True	True	20	0.5
Bronze	Bronze	$item_bronze	Material	True	True	30	12
BronzeNails	Bronze Nails	$item_bronzenails	Material	True	True	100	0.5
BronzeScrap	Scrap Bronze	$item_bronzescrap	Material	True	True	30	10
BugMeat	Seeker Meat	$item_bug_meat	Material	True	True	20	1
CandleWick	Candle Wick	$item_candlewick	Material	True	True	50	0.3
CapeAsh	Ashen Cape	$item_cape_ash	Shoulder	True	True	1	4
CapeAsksvin	Asksvin Cloak	$item_cape_asksvin	Shoulder	True	True	1	4
CapeDeepNorth	Moose Hide Cape	$item_cape_deepnorth	Shoulder	True	True	1	4
CapeDeepNorthMage	Cape of the Caller	$item_cape_deepnorth_mage	Shoulder	True	True	1	4
CapeDeerHide	Deer Hide Cape	$item_cape_deerhide	Shoulder	True	True	1	4
CapeFeather	Feather Cape	$item_cape_feather	Shoulder	True	True	1	4
CapeLinen	Linen Cape	$item_cape_linen	Shoulder	True	True	1	4
CapeLox	Lox Cape	$item_cape_lox	Shoulder	True	True	1	4
CapeOdin	Cape of Oden	$item_cape_odin	Shoulder	True	True	1	4
CapeTest	CAPE TEST	CAPE TEST	Shoulder	True	True	1	4
CapeTrollHide	Troll Hide Cape	$item_cape_trollhide	Shoulder	True	True	1	4
CapeWolf	Wolf Fur Cape	$item_cape_wolf	Shoulder	True	True	1	4
Carapace	Carapace	$item_carapace	Material	True	True	50	2
Carrot	Carrot	$item_carrot	Consumable	True	True	50	0.3
CarrotSeeds	Carrot Seeds	$item_carrotseeds	Material	True	True	100	0.1
CarrotSoup	Carrot Soup	$item_carrotsoup	Consumable	True	True	10	1
Catapult_ammo	Grausten Payload	$item_catapult_training_ammo	Material	True	True	50	0.3
Catapult_Ammo_BloodGold	Bloodgold Payload	$item_catapult_bloodgold_ammo	Material	True	True	50	0.3
CelestialFeather	Celestial Feather	$item_celestialfeather	Material	True	True	50	0.5
